Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
POLY [s],8117,"Industrial Products & Services, Main Market",0.405,0.2,0.52,0,1.92,,1.052,21.05,,1.83,0.38,64.79,0.568965517
IBHD [s],4251,"Property, Main Market",0.16,0.095,0.395,7844,1.83,,1.02,8.75,,1.79,0.16,178.71,0.338983051
CGB [s],8052,"Industrial Products & Services, Main Market",0.4,0.3,0.595,36,0.94,,0.53,42.6,,1.77,0.75,36,0.220338983
WIDETEC,7692,"Industrial Products & Services, Main Market",0.53,0.43,0.7,0,1.5,,0.85,35.4,,1.76,0.62,23.72,3.694915254
LEONFB,5232,"Industrial Products & Services, Main Market",0.305,0.2,0.48,35,1.99,3,1.13,15.32,9.84,1.76,0.27,94.55,0.508474576
ANALABS [s],7083,"Industrial Products & Services, Main Market",1.03,0.815,1.16,280,4.34,2,2.48,23.72,1.94,1.75,0.42,123.65,1.576271186
ENGKAH [s],7149,"Consumer Products & Services, Main Market",0.71,0.68,1.12,100,1.77,,1.01,40.16,,1.75,0.7,50.24,3.389830508
EMETALL [s],7217,"Industrial Products & Services, Main Market",0.27,0.155,0.53,5488,2.31,0,1.32,11.69,0,1.75,0.2,50.84,0.847457627
LCTITAN [s],5284,"Industrial Products & Services, Main Market",1.78,0.975,3,17458,9.27,7,5.34,19.21,3.93,1.74,0.33,4107.87,0.084745763
DEGEM [s],7119,"Consumer Products & Services, Main Market",1.09,0.76,1.13,0,3.29,110,1.94,33.1,100.92,1.7,0.56,146.06,0.416666667
MELATI [s],5129,"Construction, Main Market",0.39,0.295,0.49,0,3.03,1,1.8,12.86,2.56,1.69,0.22,46.8,0.81147541
BJCORP,3395,"Industrial Products & Services, Main Market",0.19,0.17,0.275,10047,2.18,,1.296,8.73,,1.68,0.15,990.84,0.62295082
MENTIGA [s],5223,"Industrial Products & Services, Main Market",0.5,0.24,0.595,0,4.35,0,2.6,11.51,0,1.67,0.19,35,2.590163934
